标题,状态,领域,用户名,时间,内容
宝山区盛桥镇建垃圾焚烧厂一事,待回复,环保 求助,兰***,2019-11-1116:11,尊敬的李强书记好：我是宝山区盛桥镇居民，最近听说要在川雄路川念路（距离盛桥区民区直线距离仅2公里）建造一座大型垃圾焚烧厂，一方面目前盛桥地区周边几公里区域，已经聚集了钢厂、热电厂、水泥厂等重污染企业，附近蕰川路又是重集卡车、集装箱等大型车辆进出上海的主要公路，所以，盛桥地区已经是上海污染最严重地区，没有之一。现在，又要将更加严重的污染企业-垃圾焚烧厂，落地盛桥两公里的区域？另一方面，据说环评部门已经做了两次网上的信息公示（民意调查），但仅有几百人的点击阅读量和意见回复，这与在盛桥地区生活的几万居民来比，相当于根本没有做民意调查，这么大的重污染项目，在民意调查环节走过场，是对当地居民的极不负责任的做法，所以，恳请李书记关心一下这个项目，关注盛桥人民子孙后代身体健康。谢谢。
底层员工的阿喀琉斯之踵,待回复,就业 投诉,卑***,2019-11-1113:41,市委书记您好：  本人想向市委领导反应东方有线网络技术服务有线公司诱导大众运维派遣员工接受不平等选择，随意更改员工工资，交涉直接让仲裁，仲裁在单位未提供任何证据的前提下，裁决结果完全倾向于公司。自19年1月开始，公司因业务开展不利，用户量逐渐减少，收益萎缩，为保障领导利益，致使派遣员工劳动所得日益减少。部分员工向领导反应，领导以效益不好，要以大局为重等一系列谎言来搪塞派遣员工。（仅限上海申时管理有限公司派遣员工）有些员工忍受不了拿着2420的工资还要养家糊口，只能忍痛离职。未离职员工也不好过，到19年4月，东方有线为保障收益，从其他渠道开始把所有运维项目外包，不惜牺牲公司核心利益与广大市民应有的利益，毅然外包，并要开始“处理”派遣员工，威逼利诱的让派遣员工选择与外包签合同，或者接受3000以下×工龄的“买断”条款（实际所有派遣员工工资税前工资都大于4000）不接受的上述两项的，就美曰其名的说继续用你，但是把你调配到离原来上班地点很远的地方（当初招聘是按就近分配原则，不然很多员工都不会选择东方有线）并只给每个月2480的国家最低标准，且威胁并称，不怕你仲裁打官司，赢了也拖你，个人斗不过公司等等相威胁（确实斗不过公司，单位在未提供任何证据的情况下，光凭一张嘴，就可以把裁决结果完全倾向于公司），致使有些员工接受上述两条。不接受的，也按第三条处理了。本人惶恐，央央大中华，竟有如此“强势”的公司。本来，公司业务转型，买断员工是件很正常的事情，按照劳动合同法正常赔付就好，但是东方有线公司竟然己私欲，压榨买断金额。相信国家会给底层老百姓一个满意的答复。   注：本人一个南区分公司的普通派遣员工 
众安保险公司拒赔,待回复,金融 投诉,我***,2019-11-1113:17,众安保险公司故意误导、套路投保人。保险公司打着在线理赔的旗号，不到现场勘察的做法，涉嫌故意误导投保人，让投保人在出险后的一些做法故意达不到他们的理赔条件。
家里开棋牌室为什么没人管呢,待回复,文娱 投诉,一***,2019-11-1113:15,上海市静安区江宁路777号（内外联公寓）17楼D室，自打他们租借到这以后每日通宵打麻将，是每日通宵打麻将已严重影响了我们的睡眠和工作，为什么没人管呢？五个多月过去了，找过物业，管不了，找过N次房东，房东把电源掐断了，他们自己接上接着打打过110，不管用，110来到后一分钟不到走了，对他们没影响接着打麻将。正应为我打过110，现在吵声比之前还大此刻凌晨两点半，隔壁说话声不断，我能怎么办呢？
请求书记解决我家排水困难,待回复,城建 求助,马***,2019-11-1108:58,尊敬李书记：你好！我于2016年1月拿到新房，3月入住，同年7月发现下大雨家中厨房间水池反水严重，造成下雨天不能做饭，向物业部门报修，一直隐瞒排水管道外高里低的实情，报修3年半始终不解决。2019年9月，请求政府介入解决拖了3年半的问题，我12345反映3次，区长信箱反馈2次，可是马桥房管办就是不解决，甚至连解释也没有草草了事。作为一名党员，深感有这样的政府部门感到寒心，口上叫着“不忘初心，牢记使命”，实际是能拖就拖，能敷衍就敷衍。老百姓遇到困难3年半，都求到你门上了，就是躲着不见，就是不解决。3年半不光影响我的日常生活，而且也给我造成了洗衣机损坏的报废严重经济损失后果。马桥房管办置老百姓的生活于不顾，对百姓的求助置若罔闻，遇到困难只能一级级向上反映。李书记，我也是一名基层社区居委书记，对岗位的敬畏就是对自己的尊敬，民有所需我有所应，但今天就遇到这样的职能部门。而且恰恰发生在我自己身上，这太讽刺了。我在万般无奈之下给你写这封信，请求政府部门出面解决我的日常生活困难，救我于水火。我相信李书记，相信政府。
房产紧急求助,待回复,城建 求助,C***,2019-11-0812:26,敬爱的市委书记，紧急求助。今年6月从开发商三盛房产荣惠置业手中买了一套房，近700万，房子已全款付清，开发商已交房并入住，网签合同正常，按照合同约定交房6个月开发商协助办理房产证，最近才知道房子被开发商抵押，无法撤押，产证无法办理，孩子无法上学。目前三盛房产面临破产和重组，根本无法撤押金，我穷一生买一套房，现在面临被拍卖的风险，死都无法接受，小区涉及100多户，我们实在无路可走，只能求助市长，为小老百姓做主。请领导了解情况，请政府督促荣惠置业尽快撤押，协助办理产证。三盛重组进展及是知会业主。非常感谢
毒app买鞋,待回复,企业 投诉,一***,2019-11-0711:39,尊敬的领导您好.我与8月21号在毒app买了4双鞋.也就是上海识装信息有限公司.当时他们平台推出了寄存服务.然后到10月21号到期我就选择了召回.发现鞋子有不同程度的瑕疵.我提出退货退款.客服不答应.然后我投诉12315.平台专员给我退了两双.还有两双不给我退.理由是损失一起承担.我对这个理由表示不理解.然后通过12345上海app进行投诉.客服专员表示还是不能退.理由是寄售商品不支持7天无理由还有一个理由就是瑕疵在可发范围.既然事已至此如果能退就退了.不能退我希望可以毒app能够补充他们的理由或者证据.首先寄售商品不支持7天无理由这样合理合法吗.然后把他们所谓的可发标准以书面化的形式给我.还有就是他们不是找我要开箱视频吗.我确实没有.那他们提供给我封箱视频.
何時建成無煙校園？,待回复,教育 投诉,匿***,2019-11-0711:39,請問上海中醫藥大學何時能建成無煙校園？在教學樓廁所里時常能看到三五成群的人吸煙，學校甚至還給配了簡易煙灰缸
韦博英语与京东白条合作欺骗学员,待回复,教育 投诉,W***,2019-11-0617:11,领导好，韦博英语上海的门店在10月8日全部关门停课，关于剩余的退款无人办理，关于韦博转学英孚的第三方协议全部是霸王条款，并且课程类型与上课方式不明，关于贷款机构京东白条分期座等观望韦博的处理进展，对于学员诉求止贷止损无任何与韦博协商讨论方案的行动，并以征信威逼学员继续还贷，继续损失。烦请领导调查处理韦博英语与京东白条合作欺骗学员的行为，并要求他们把学员的贷款停止，叩谢！
申通快递偷件不赔，还讨价还价,待回复,企业 投诉,王***,2019-11-0617:03,李书记您好，上海申通快递公司将我价值3598元的物品弄丢，说他们偷并不过分，偷完甚至挂到网上卖，他们无法证明自己没偷。从始至今95543等投诉沟通不下30次，申通总部、申通上海分公司推三阻四，无数次以内部沟通为由，拿不出解决方案，不下十次对我撒谎进行欺骗，涉嫌盗窃，欺诈等。请相关部门依法处理。
